eid,bid,ans
20130702_135652,14392,20
20130702_135704,5492,20
20130702_135652,11276,10
20130702_135652,14498,10
20130702_135704,67200,20
20130702_135704,24308,20
20130702_135652,4586,20
20130702_135652,16587,20
20130702_135704,53524,20
20130702_135652,12789,20
20130702_135704,50301,10
20130702_135704,69380,10
20130702_135704,17388,20
20130702_135652,998,30
20130702_135652,13637,10
20130702_135704,18528,20
20130702_135652,17663,20
20130702_135652,12561,20
20130702_135652,16742,20
20130702_135652,14263,20
20130702_135652,5527,20
20130702_135652,2591,10
20130702_135652,7773,20
20130702_135652,18029,10
20130702_135652,2898,30
20130702_135652,18313,10
20130702_135704,22064,20
20130702_135704,15413,20
20130702_135652,3084,30
20130702_135652,13764,20
20130702_135652,13973,20
20130702_135652,3898,20
20130702_135652,4694,20
20130702_135652,13676,10
20130702_135704,198,05
20130702_135652,3351,10
20130702_135652,2921,30
20130702_135704,11460,20
20130702_135652,16632,20
20130702_135652,10700,20
20130702_135704,15958,20
20130702_135704,12143,20
20130702_135652,3069,30
20130702_135652,11340,20
20130702_135704,16405,20
20130702_135652,14170,10
20130702_135652,9965,20
20130702_135704,73200,20
20130702_135652,11409,20
20130702_135652,17038,20
20130702_135704,78498,10
20130702_135704,10477,10
20130702_135652,12368,10
20130702_135704,50545,20
20130702_135652,987,30
20130702_135652,16865,20
20130702_135704,30826,10
20130702_135652,10936,10
20130702_135704,15108,20
20130702_135652,3575,10
20130702_135652,584,20
20130702_135652,6702,20
20130702_135652,8074,20
20130702_135652,17160,30
20130702_135704,29184,05
20130702_135652,15176,30
20130702_135652,2963,30
20130702_135704,45277,30
20130702_135704,1631,10
20130702_135652,17220,20
20130702_135652,18385,20
20130702_135704,16936,20
20130702_135652,13255,20
20130702_135704,49265,20
20130702_135652,7068,20
20130702_135652,1662,30
20130702_135704,15165,20
20130702_135704,30143,10
20130702_135704,15721,20
20130702_135704,43196,20
20130702_135704,70956,20
20130702_135652,7819,20
20130702_135652,8938,20
20130702_135652,8104,20
20130702_135652,11317,10
20130702_135652,16682,20
20130702_135704,40841,10
20130702_135704,5450,20
20130702_135704,50561,20
20130702_135652,15342,10
20130702_135652,2013,10
20130702_135704,16970,20
20130702_135652,14255,20
20130702_135652,4070,20
20130702_135652,12816,10
20130702_135652,12353,10
20130702_135652,4207,20
20130702_135652,14516,10
20130702_135704,12868,20
20130702_135652,11059,10
20130702_135652,2016,10
20130702_135704,54907,20
20130702_135704,407,05
20130702_135704,63656,05
20130702_135652,2529,20
20130702_135704,54358,20
20130702_135652,2609,20
20130702_135652,16552,30
20130702_135652,12515,20
20130702_135704,15904,20
20130702_135704,29882,20
20130702_135704,300,20
20130702_135652,12082,10
20130702_135704,15100,20
20130702_135704,30232,20
20130702_135704,8313,20
20130702_135652,7419,20
20130702_135652,17550,20
20130702_135704,502,10
20130702_135652,7879,20
20130702_135652,8921,20
20130702_135704,18626,20
20130702_135652,13186,05
20130702_135704,14460,20
20130702_135652,3862,20
20130702_135652,10147,20
20130702_135704,77160,20
20130702_135704,51715,20
20130702_135652,13492,05
20130702_135652,17763,10
20130702_135652,18433,10
20130702_135652,10004,20
20130702_135652,17298,10
20130702_135652,2360,10
20130702_135652,8817,20
20130702_135652,15153,20
20130702_135652,1686,20
20130702_135652,18035,10
20130702_135652,238,10
20130702_135652,8412,20
20130702_135652,2578,10
20130702_135652,12481,10
20130702_135652,17834,10
20130702_135704,948,10
20130702_135704,2182,20
20130702_135704,14581,20
20130702_135704,20167,20
20130702_135652,18192,10
20130702_135704,17149,20
20130702_135652,13458,05
20130702_135652,13401,05
20130702_135652,12786,20
20130702_135652,17041,20
20130702_135704,27861,20
20130702_135652,4026,20
20130702_135652,8019,20
20130702_135704,26794,20
20130702_135652,14463,20
20130702_135652,12415,10
20130702_135704,2597,20
20130702_135652,11400,20
20130702_135652,946,20
20130702_135652,14580,20
20130702_135704,17558,20
20130702_135704,39291,10
20130702_135652,7900,20
20130702_135652,14941,05
20130702_135652,4216,20
20130702_135704,8470,20
20130702_135652,2280,20
20130702_135652,12251,15
20130702_135652,13284,05
20130702_135652,18280,20
20130702_135652,18424,10
20130702_135652,16290,20
20130702_135704,30867,10
20130702_135652,16985,20
20130702_135704,16037,20
20130702_135652,13541,20
20130702_135704,42427,20
20130702_135704,53836,20
20130702_135652,9974,20
20130702_135652,14787,15
20130702_135652,13970,20
20130702_135652,4409,20
20130702_135704,17494,05
20130702_135704,78507,10
20130702_135704,42721,20
20130702_135652,15750,20
20130702_135652,3617,20
20130702_135652,12728,10
20130702_135652,17440,20
20130702_135652,1853,20
20130702_135652,7622,20
20130702_135652,13810,20
20130702_135652,4075,20
20130702_135652,184,10
20130702_135652,2532,10
20130702_135652,3820,20
20130702_135704,26937,20
20130702_135704,23503,20
20130702_135652,18413,10
20130702_135704,20666,05
20130702_135652,16011,20
20130702_135652,10545,30
20130702_135704,50591,10
20130702_135704,29607,20
20130702_135652,12641,10
20130702_135652,6415,20
20130702_135652,16102,20
20130702_135652,14556,20
20130702_135704,5729,20
20130702_135704,73173,20
20130702_135652,16624,30
20130702_135652,10457,10
20130702_135652,7418,30
20130702_135704,34782,10
20130702_135704,18886,20
20130702_135652,13530,20
20130702_135652,16093,20
20130702_135704,1403,10
20130702_135704,14649,20
20130702_135704,8857,20
20130702_135704,80649,20
20130702_135652,12946,20
20130702_135704,2320,10
20130702_135652,15182,30
20130702_135652,16845,20
20130702_135652,13820,20
20130702_135652,3035,30
20130702_135704,12642,20
20130702_135704,55926,20
20130702_135652,15535,20
20130702_135652,1098,20
20130702_135704,12525,20
20130702_135704,39255,10
20130702_135704,47049,20
20130702_135652,5609,20
20130702_135652,449,20
20130702_135704,16191,20
20130702_135652,9803,10
20130702_135652,1648,20
20130702_135652,12057,15
20130702_135652,17924,10
20130702_135652,15167,30
20130702_135704,12963,20
20130702_135704,86506,20
20130702_135704,47957,05
20130702_135652,9072,20
20130702_135652,3696,30
20130702_135652,3742,10
20130702_135652,728,20
20130702_135652,8931,20
20130702_135652,10554,30
20130702_135704,68931,10
20130702_135652,9609,20
20130702_135652,204,10
20130702_135704,51721,20
20130702_135652,17708,20
20130702_135704,17374,20
20130702_135652,17612,10
20130702_135704,16141,20
20130702_135652,11593,20
20130702_135704,14188,20
20130702_135652,8050,20
20130702_135652,3894,10
20130702_135704,14401,15
20130702_135704,4317,10
20130702_135652,9444,20
20130702_135704,80037,10
20130702_135704,47352,20
20130702_135652,11517,20
20130702_135652,14531,10
20130702_135652,16509,20
20130702_135704,526,10
20130702_135704,79514,10
20130702_135652,1963,20
20130702_135652,11403,20
20130702_135652,16988,20
20130702_135652,17970,10
20130702_135652,13967,20
20130702_135704,15587,20
20130702_135652,1649,20
20130702_135652,2823,30
20130702_135652,4234,20
20130702_135704,16363,20
20130702_135652,2461,20
20130702_135704,78153,20
20130702_135652,59,10
20130702_135652,3334,10
20130702_135652,8272,20
20130702_135652,15439,20
20130702_135704,46897,20
20130702_135652,16556,30
20130702_135704,30786,10
20130702_135652,17193,30
20130702_135704,108,05
20130702_135652,2568,10
20130702_135704,50612,20
20130702_135704,16467,20
20130702_135652,14864,05
20130702_135704,16059,20
20130702_135652,15287,15
20130702_135704,8346,20
20130702_135652,812,20
20130702_135652,9243,20
20130702_135704,27820,20
20130702_135652,15564,20
20130702_135652,14344,20
20130702_135652,18075,20
20130702_135704,76588,35
20130702_135652,17093,20
20130702_135652,2513,10
20130702_135652,16692,20
20130702_135652,18078,20
20130702_135652,1708,30
20130702_135704,5719,20
20130702_135652,7231,20
20130702_135652,10366,20
20130702_135652,6764,20
20130702_135704,18566,20
20130702_135652,18407,20
20130702_135704,15006,20
20130702_135652,8409,20
20130702_135704,10213,10
20130702_135652,893,10
20130702_135704,46919,20
20130702_135652,17783,10
20130702_135652,9117,20
20130702_135652,13964,20
20130702_135652,2613,20
20130702_135704,84,05
20130702_135704,16476,20
20130702_135652,14522,10
20130702_135704,292,10
20130702_135652,4228,20
20130702_135652,18164,10
20130702_135652,8092,20
20130702_135704,12536,20
20130702_135652,10337,10
20130702_135652,13132,05
20130702_135652,2042,20
20130702_135652,16584,20
20130702_135704,69543,10
20130702_135704,15909,20
20130702_135652,2924,30
20130702_135704,27792,20
20130702_135652,322,30
20130702_135652,13489,05
20130702_135652,2599,10
20130702_135652,3431,20
20130702_135652,3774,20
20130702_135704,7894,20
20130702_135704,1592,10
20130702_135704,15404,20
20130702_135704,17534,20
20130702_135704,58587,20
20130702_135652,13016,20
20130702_135704,6893,10
20130702_135704,2333,10
20130702_135652,13784,20
20130702_135704,37673,20
20130702_135652,15332,10
20130702_135704,50638,20
20130702_135652,17643,20
20130702_135652,4729,10
20130702_135652,14000,20
20130702_135652,14962,05
20130702_135704,47743,10
20130702_135652,2908,30
20130702_135704,15531,20
20130702_135704,61530,30
20130702_135652,17266,10
20130702_135652,6234,20
20130702_135652,16783,10
20130702_135704,12514,20
20130702_135704,4712,20
20130702_135652,1972,10
20130702_135652,16455,20
20130702_135652,17541,20
20130702_135652,14906,05
20130702_135704,79540,10
20130702_135652,12576,20
20130702_135704,40806,10
20130702_135652,1236,20
20130702_135652,16804,20
20130702_135704,331,10
20130702_135652,10045,20
20130702_135704,15407,20
20130702_135652,14691,10
20130702_135652,15987,20
20130702_135652,4065,20
20130702_135652,12997,20
20130702_135652,12589,10
20130702_135652,10444,10
20130702_135704,85058,20
20130702_135652,16754,20
20130702_135704,12954,20
20130702_135704,50544,10
20130702_135652,15538,20
20130702_135652,6779,20
20130702_135652,3498,10
20130702_135652,9961,20
20130702_135652,17046,20
20130702_135652,8265,20
20130702_135652,7061,20
20130702_135704,26253,20
20130702_135652,11137,20
20130702_135652,9677,30
20130702_135704,84939,20
20130702_135704,21207,05
20130702_135652,2845,30
20130702_135704,11328,20
20130702_135652,4526,20
20130702_135704,390,05
20130702_135704,11186,20
20130702_135704,20091,05
20130702_135652,16930,10
20130702_135704,87734,20
20130702_135652,5358,20
20130702_135704,30854,10
20130702_135652,9879,20
20130702_135652,14965,05
20130702_135652,242,10
20130702_135652,7647,20
20130702_135704,74271,20
20130702_135652,9887,20
20130702_135652,12902,20
20130702_135652,1171,20
20130702_135652,14586,10
20130702_135652,15164,30
20130702_135704,44633,20
20130702_135704,15393,20
20130702_135652,4592,20
20130702_135652,645,20
20130702_135704,59588,20
20130702_135652,18246,10
20130702_135704,11375,20
20130702_135704,13103,20
20130702_135652,2874,10
20130702_135652,3988,20
20130702_135704,15975,20
20130702_135652,10014,20
20130702_135652,9232,20
20130702_135652,2057,20
20130702_135704,6432,10
20130702_135652,4436,20
20130702_135652,11385,20
20130702_135704,7220,20
20130702_135652,16993,10
20130702_135704,15943,20
20130702_135704,14157,20
20130702_135704,4473,20
20130702_135704,540,15
20130702_135652,13722,10
20130702_135652,8719,20
20130702_135652,6872,20
20130702_135652,15276,15
20130702_135704,13065,30
20130702_135704,6712,20
20130702_135704,9329,20
20130702_135652,15040,20
20130702_135704,85375,20
20130702_135652,18093,20
20130702_135652,12981,20
20130702_135704,17540,20
20130702_135704,15961,20
20130702_135652,8183,10
20130702_135652,14685,10
20130702_135652,10623,10
20130702_135704,20105,05
20130702_135704,72825,20
20130702_135652,1641,20
20130702_135652,4786,20
20130702_135652,16653,20
20130702_135652,2917,20
20130702_135652,17037,20
20130702_135652,4237,20
20130702_135652,16235,20
20130702_135652,14998,15
20130702_135704,30190,20
20130702_135652,14706,20
20130702_135704,43284,20
20130702_135652,5499,20
20130702_135652,13728,10
20130702_135704,11153,20
20130702_135652,17223,20
20130702_135652,1053,20
20130702_135652,7697,20
20130702_135652,17916,10
20130702_135652,7912,20
20130702_135652,17760,20
20130702_135704,6950,10
20130702_135652,10494,10
20130702_135652,2854,30
20130702_135704,17667,20
20130702_135652,12412,10
20130702_135652,10058,20
20130702_135652,1808,20
20130702_135652,579,20
20130702_135652,974,10
20130702_135704,4442,20
20130702_135652,17002,20
20130702_135652,17211,30
20130702_135652,1769,35
20130702_135652,4433,20
20130702_135704,34762,10
20130702_135704,9323,20
20130702_135652,11641,20
20130702_135704,16955,20
20130702_135652,17904,10
20130702_135704,7201,20
20130702_135652,12257,15
20130702_135704,50394,10
20130702_135652,5188,20
20130702_135704,15864,20
20130702_135652,9891,20
20130702_135704,1400,10
20130702_135652,10488,10
20130702_135652,17309,20
20130702_135652,8213,10
20130702_135704,10559,20
20130702_135704,17543,20
20130702_135652,4858,20
20130702_135704,64309,20
20130702_135652,7895,20
20130702_135652,10501,10
20130702_135652,16458,20
20130702_135704,17588,20
20130702_135704,60704,10
20130702_135652,15280,15
20130702_135704,16503,20
20130702_135652,11482,20
20130702_135704,17596,10
20130702_135704,28736,20
20130702_135652,3883,10
20130702_135652,14191,10
20130702_135652,2979,30
20130702_135652,18032,10
20130702_135652,16067,20
20130702_135652,2004,10
20130702_135652,8056,20
20130702_135704,5775,20
20130702_135652,8886,20
20130702_135704,4228,20
20130702_135652,17365,20
20130702_135704,78057,20
20130702_135704,26992,20
20130702_135652,18525,10
20130702_135704,47397,20
20130702_135652,8973,20
20130702_135704,535,15
20130702_135704,14946,30
20130702_135652,17157,30
20130702_135652,15518,20
20130702_135652,17370,20
20130702_135704,29199,05
20130702_135704,4975,20
20130702_135652,13213,05
20130702_135704,6396,10
20130702_135704,4609,10
20130702_135704,14380,20
20130702_135704,44589,20
20130702_135704,13968,20
20130702_135652,2880,10
20130702_135652,15202,30
20130702_135652,4563,20
20130702_135652,3001,30
20130702_135652,8210,10
20130702_135652,17127,20
20130702_135704,59587,20
20130702_135652,17203,20
20130702_135704,15861,20
20130702_135652,13083,20
20130702_135704,22093,20
20130702_135652,560,20
20130702_135652,2648,20
20130702_135652,13741,10
20130702_135652,13299,05
20130702_135704,46949,20
20130702_135704,47984,05
20130702_135652,1914,10
20130702_135652,12819,10
20130702_135652,6775,20
20130702_135652,1718,30
20130702_135652,4555,20
20130702_135704,6986,10
20130702_135652,1857,20
20130702_135652,18038,10
20130702_135652,7524,20
20130702_135652,12987,20
20130702_135704,17166,20
20130702_135652,3794,20
20130702_135652,13032,30
20130702_135652,12542,10
20130702_135652,17538,10
20130702_135652,12556,10
20130702_135652,13413,05
20130702_135704,30880,10
20130702_135652,13062,20
20130702_135652,3584,20
20130702_135704,44888,20
20130702_135704,18808,20
20130702_135704,19998,05
20130702_135704,5509,20
20130702_135652,2544,10
20130702_135704,19964,20
20130702_135652,18153,10
20130702_135652,7882,20
20130702_135652,18055,20
20130702_135652,16332,20
20130702_135652,8243,20
20130702_135652,14109,20
20130702_135704,50656,20
20130702_135652,11936,20
20130702_135652,12453,10
20130702_135652,18170,10
20130702_135652,14956,05
20130702_135652,17735,10
20130702_135652,9287,20
20130702_135652,1978,20
20130702_135652,17361,20
20130702_135652,11092,10
20130702_135652,8071,20
20130702_135652,8650,20
20130702_135652,3681,30
20130702_135652,18072,20
20130702_135652,4034,20
20130702_135652,1899,20
20130702_135652,15090,30
20130702_135652,12608,10
20130702_135652,10306,30
20130702_135704,43942,15
20130702_135652,2839,30
20130702_135704,77829,20
20130702_135652,12675,20
20130702_135704,16561,20
20130702_135652,11897,20
20130702_135652,12429,10
20130702_135704,5042,20
20130702_135704,30792,10
20130702_135704,10448,10
20130702_135704,36414,20
20130702_135652,13119,30
20130702_135704,15599,20
20130702_135652,2712,20
20130702_135652,13931,20
20130702_135652,7598,20
20130702_135704,5527,20
20130702_135704,76608,35
20130702_135652,1668,20
20130702_135704,17664,20
20130702_135652,12882,20
20130702_135652,18543,20
20130702_135652,14266,20
20130702_135652,13893,20
20130702_135652,11505,20
20130702_135704,20113,05
20130702_135704,499,10
20130702_135652,15194,30
20130702_135704,29362,10
20130702_135704,30518,20
20130702_135652,14713,20
20130702_135652,885,20
20130702_135704,11173,20
20130702_135652,14562,20
20130702_135652,2458,20
20130702_135704,88666,20
20130702_135704,44470,20
20130702_135652,9606,20
20130702_135652,17042,20
20130702_135652,7563,20
20130702_135652,18531,20
20130702_135704,15952,20
20130702_135652,13013,20
20130702_135704,468,10
20130702_135704,5786,20
20130702_135704,47411,20
20130702_135652,971,10
20130702_135652,8960,20
20130702_135652,14632,10
20130702_135652,15121,15
20130702_135704,34437,10
20130702_135652,17535,20
20130702_135652,17289,10
20130702_135652,15742,20
20130702_135704,4689,20
20130702_135704,47562,20
20130702_135704,16070,20
20130702_135652,18204,10
20130702_135652,17853,10
20130702_135704,16797,20
20130702_135704,3603,20
20130702_135652,17029,20
20130702_135652,12386,10
20130702_135652,18173,10
20130702_135704,16426,20
20130702_135652,13878,20
20130702_135704,16194,20
20130702_135652,3081,30
20130702_135652,8805,20
20130702_135704,45259,20
20130702_135704,14609,30
20130702_135704,43779,20
20130702_135704,34108,10
20130702_135652,600,10
20130702_135652,9851,20
20130702_135652,11348,20
20130702_135652,14911,05
20130702_135652,14781,20
20130702_135652,14103,20
20130702_135652,9736,20
20130702_135652,17732,10
20130702_135652,14935,05
20130702_135704,10391,10
20130702_135704,14961,20
20130702_135652,16943,10
20130702_135652,2957,30
20130702_135652,16403,20
20130702_135652,17504,10
20130702_135652,10983,20
20130702_135652,12409,10
20130702_135704,15484,20
20130702_135652,14167,10
20130702_135704,12634,20
20130702_135652,443,15
20130702_135652,11999,20
20130702_135652,10338,20
20130702_135652,18344,20
20130702_135704,25223,20
20130702_135652,13248,05
20130702_135652,2855,10
20130702_135704,21010,20
20130702_135652,4422,10
20130702_135652,7958,20
20130702_135652,15401,20
20130702_135652,14914,05
20130702_135652,15083,30
20130702_135704,4962,20
20130702_135652,17898,10
20130702_135704,34556,20
20130702_135652,17084,20
20130702_135704,15590,20
20130702_135652,4088,20
20130702_135652,14663,10
20130702_135652,17588,10
20130702_135652,18380,10
20130702_135652,9244,10
20130702_135652,3846,20
20130702_135704,28015,20
20130702_135652,2265,10
20130702_135652,1080,20
20130702_135652,13080,20
20130702_135652,14385,20
20130702_135652,3564,20
20130702_135652,14513,10
20130702_135652,713,20
20130702_135652,3090,30
20130702_135704,15970,30
20130702_135704,18570,20
20130702_135652,10776,20
20130702_135652,5564,30
20130702_135704,27034,20
20130702_135652,12075,10
20130702_135652,11807,20
20130702_135652,7130,20
20130702_135652,10236,25
20130702_135704,47036,20
20130702_135652,18188,20
20130702_135704,6359,10
20130702_135704,40762,10
20130702_135652,2056,10
20130702_135704,86124,20
20130702_135652,16499,20
20130702_135652,13122,30
20130702_135704,30737,10
20130702_135652,12885,20
20130702_135652,12767,20
20130702_135652,8286,20
20130702_135652,17021,20
20130702_135652,16578,20
20130702_135652,2995,30
20130702_135652,10514,10
20130702_135704,46087,20
20130702_135652,15524,20
20130702_135652,9423,20
20130702_135704,80694,20
20130702_135652,10428,10
20130702_135652,10160,20
20130702_135652,10640,10
20130702_135704,20127,05
20130702_135704,16212,20
20130702_135652,6314,20
20130702_135704,53587,20
20130702_135704,17426,20
20130702_135652,2413,20
20130702_135652,17482,10
20130702_135652,18332,10
20130702_135652,15567,20
20130702_135652,13480,05
20130702_135704,17382,20
20130702_135652,13573,20
20130702_135704,15753,20
20130702_135652,4246,20
20130702_135704,26755,20
20130702_135652,14727,10
20130702_135652,12508,10
20130702_135652,904,20
20130702_135652,16433,20
20130702_135704,33236,20
20130702_135652,17831,10
20130702_135704,1286,10
20130702_135704,44455,20
20130702_135652,17930,10
20130702_135652,3641,20
20130702_135704,17268,20
20130702_135704,15536,20
20130702_135652,9860,20
20130702_135652,8942,20
20130702_135704,16271,20
20130702_135652,7870,20
20130702_135652,1926,10
20130702_135704,14383,20
20130702_135704,20102,05
20130702_135652,3006,30
20130702_135652,18396,10
20130702_135652,16490,20
20130702_135704,39217,10
20130702_135704,6147,10
20130702_135704,12521,20
20130702_135704,15360,20
20130702_135652,3516,10
20130702_135652,15515,20
20130702_135704,10765,20
20130702_135652,5553,30
20130702_135652,17942,10
20130702_135652,9447,20
20130702_135652,10001,20
20130702_135652,8954,20
20130702_135652,183,25
20130702_135704,62642,20
20130702_135652,17888,10
20130702_135652,11479,20
20130702_135652,127,20
20130702_135704,26987,20
20130702_135704,79525,10
20130702_135652,392,20
20130702_135704,8116,10
20130702_135652,13903,20
20130702_135652,16504,20
20130702_135704,7367,20
20130702_135652,14757,10
20130702_135704,44098,15
20130702_135652,8966,20
20130702_135652,1465,20
20130702_135704,54324,20
20130702_135652,14114,10
20130702_135652,2550,10
20130702_135704,14586,20
20130702_135652,14340,20
20130702_135652,17295,10
20130702_135652,11143,20
20130702_135652,18184,10
20130702_135704,27114,20
20130702_135652,18282,10
20130702_135652,18480,10
20130702_135652,1736,30
20130702_135704,2353,10
20130702_135652,12895,10
20130702_135652,16163,20
20130702_135652,7252,10
20130702_135704,84083,20
20130702_135652,18167,10
20130702_135704,8220,20
20130702_135652,8979,10
20130702_135652,566,20
20130702_135652,3414,20
20130702_135704,75194,20
20130702_135704,46706,20
20130702_135652,16448,20
20130702_135652,17685,05
20130702_135652,7619,20
20130702_135652,4469,20
20130702_135652,13316,05
20130702_135652,3886,10
20130702_135652,17501,10
20130702_135652,10482,10
20130702_135652,4210,20
20130702_135652,1887,20
20130702_135704,35246,20
20130702_135652,8814,20
20130702_135652,6708,20
20130702_135652,12180,05
20130702_135652,16963,10
20130702_135652,17513,10
20130702_135652,8576,20
20130702_135652,12813,10
20130702_135652,1975,20
20130702_135704,73838,20
20130702_135652,14313,20
20130702_135652,9379,30
20130702_135652,11157,20
20130702_135652,12539,10
20130702_135652,17547,20
20130702_135704,82008,20
20130702_135704,77503,10
20130702_135652,13634,10
20130702_135704,7773,20
20130702_135652,12383,10
20130702_135704,44064,20
20130702_135652,412,20
20130702_135704,12907,20
20130702_135652,17704,20
20130702_135704,8459,20
20130702_135652,8304,20
20130702_135704,16928,20
20130702_135652,8219,10
20130702_135652,17579,10
20130702_135652,17684,20
20130702_135704,30888,10
20130702_135652,8351,20
20130702_135652,10664,20
20130702_135704,15422,20
20130702_135652,5584,20
20130702_135652,14653,10
20130702_135704,7352,20
20130702_135652,10868,10
20130702_135652,9900,20
20130702_135704,16482,20
20130702_135652,13331,05
20130702_135704,8882,20
20130702_135704,26750,20
20130702_135652,2451,10
20130702_135652,11486,20
20130702_135652,3330,10
20130702_135704,12864,20
20130702_135652,17154,30
20130702_135704,7855,20
20130702_135652,9807,20
20130702_135652,7591,20
20130702_135704,39304,10
20130702_135652,4950,20
20130702_135652,3044,30
20130702_135652,2558,20
20130702_135704,4601,10
20130702_135652,13343,05
20130702_135652,1987,10
20130702_135652,13094,20
20130702_135652,15765,20
20130702_135652,4673,20
20130702_135704,47800,10
20130702_135652,17097,20
20130702_135704,24374,20
20130702_135704,43856,20
20130702_135704,29395,10
20130702_135704,84929,20
20130702_135704,60690,10
20130702_135652,17655,20
20130702_135704,12628,20
20130702_135704,47634,20
20130702_135704,8866,20
20130702_135652,13988,20
20130702_135652,11111,10
20130702_135704,27447,20
20130702_135704,34083,10
20130702_135704,43637,10
20130702_135704,15559,20
20130702_135704,50336,10
20130702_135652,13958,20
20130702_135652,3610,10
20130702_135652,10593,20
20130702_135704,34095,10
20130702_135704,39221,10
20130702_135652,17801,20
20130702_135652,17846,10
20130702_135704,35981,10
20130702_135652,8847,20
20130702_135652,13807,20
20130702_135652,8068,20
20130702_135704,6293,10
20130702_135652,13939,20
20130702_135652,4443,20
20130702_135652,4676,20
20130702_135704,5595,20
20130702_135652,2027,20
20130702_135652,16058,20
20130702_135704,12704,20
20130702_135652,16371,20
20130702_135704,8465,20
20130702_135704,53028,20
20130702_135704,15989,20
20130702_135704,16296,20
20130702_135652,15616,20
20130702_135652,14014,20
20130702_135652,2522,10
20130702_135652,15496,20
20130702_135704,16392,20
20130702_135652,10485,10
20130702_135652,14579,20
20130702_135652,13525,20
20130702_135652,3047,30
20130702_135652,16641,20
20130702_135652,1957,10
20130702_135652,9247,10
20130702_135704,48005,05
20130702_135704,14964,20
20130702_135652,4452,20
20130702_135652,8845,20
20130702_135704,51787,20
20130702_135704,78504,10
20130702_135652,12533,10
20130702_135652,7885,20
20130702_135704,2471,10
20130702_135652,13467,05
20130702_135652,446,20
20130702_135704,15918,20
20130702_135652,14197,20
20130702_135704,15949,20
20130702_135652,12739,10
20130702_135652,16079,10
20130702_135652,3041,30
20130702_135652,9484,20
20130702_135704,3089,20
20130702_135652,16559,30
20130702_135652,17066,20
20130702_135652,2814,20
20130702_135652,4085,20
20130702_135704,15858,20
20130702_135704,16889,20
20130702_135652,10943,10
20130702_135652,1984,10
20130702_135704,2368,10
20130702_135652,9836,20
20130702_135704,43798,20
20130702_135652,10613,20
20130702_135704,80567,20
20130702_135704,6422,10
20130702_135704,80817,20
20130702_135652,2561,10
20130702_135652,8046,20
20130702_135652,17697,10
20130702_135652,8394,20
20130702_135704,69444,10
20130702_135652,15822,20
20130702_135652,3859,20
20130702_135652,13725,10
20130702_135704,12367,20
20130702_135652,17173,30
20130702_135652,13646,10
20130702_135704,4470,20
20130702_135652,18285,10
20130702_135704,8405,20
20130702_135652,15295,15
20130702_135652,14559,20
20130702_135704,26761,20
20130702_135652,17385,10
20130702_135704,77496,10
20130702_135704,16322,20
20130702_135652,7530,20
20130702_135652,8275,20
20130702_135652,166,10
20130702_135704,74500,20
20130702_135652,10548,30
20130702_135704,47612,20
20130702_135652,15160,05
20130702_135704,6386,10
20130702_135652,122,10
20130702_135652,13053,20
20130702_135652,9815,20
20130702_135652,2389,10
20130702_135704,45312,30
20130702_135652,18324,20
20130702_135704,2405,05
20130702_135652,12766,20
20130702_135704,700,10
20130702_135652,431,20
20130702_135652,8950,10
20130702_135652,2329,10
20130702_135652,13216,20
20130702_135652,881,20
20130702_135704,931,20
20130702_135652,3075,30
20130702_135704,74379,20
20130702_135704,16766,20
20130702_135652,9745,20
20130702_135704,47506,20
20130702_135704,49101,10
20130702_135652,7377,20
20130702_135652,2302,10
20130702_135652,12397,20
20130702_135652,8784,20
20130702_135652,2287,10
20130702_135652,13598,20
20130702_135652,13505,20
20130702_135652,16311,30
20130702_135704,30722,10
20130702_135652,17582,10
20130702_135704,16232,20
20130702_135652,12459,10
20130702_135704,27168,20
20130702_135652,16021,20
20130702_135652,15306,20
20130702_135652,18494,10
20130702_135704,74243,20
20130702_135652,1665,20
20130702_135652,9531,20
20130702_135652,2277,10
20130702_135652,936,10
20130702_135652,2024,20
20130702_135704,85068,20
20130702_135652,15786,20
20130702_135652,7930,20
20130702_135652,9218,10
20130702_135704,673,10
20130702_135704,84257,20
20130702_135652,2830,30
20130702_135652,9292,20
20130702_135704,45368,20
20130702_135704,34417,10
20130702_135652,10314,10
20130702_135652,7415,20
20130702_135652,4679,20
20130702_135652,14164,10
20130702_135704,49078,10
20130702_135704,28158,20
20130702_135704,45329,30
20130702_135704,43719,20
20130702_135704,5762,20
20130702_135652,12406,10
20130702_135652,13041,30
20130702_135704,17061,20
20130702_135652,17388,10
20130702_135704,69455,10
20130702_135704,8172,10
20130702_135704,12694,20
20130702_135652,16627,30
20130702_135704,49043,10
20130702_135652,18273,10
20130702_135704,16821,20
20130702_135652,7864,20
20130702_135652,18101,20
20130702_135652,1320,20
20130702_135704,16441,20
20130702_135652,4782,20
20130702_135652,2022,20
20130702_135652,7312,20
20130702_135652,17283,10
20130702_135704,6074,10
20130702_135652,9758,20
20130702_135704,15971,20
20130702_135652,16349,20
20130702_135652,4577,20
20130702_135652,7382,20
20130702_135652,2039,20
20130702_135652,12359,10
20130702_135652,17567,10
20130702_135652,2441,10
20130702_135652,11388,20
20130702_135652,15414,20
20130702_135652,5532,20
20130702_135652,1679,20
20130702_135652,12161,05
20130702_135704,29188,05
20130702_135652,5588,20
20130702_135652,17883,20
20130702_135704,2467,10
20130702_135652,9945,20
20130702_135652,18540,20
20130702_135652,1186,20
20130702_135704,60206,20
