eid,bid,ans
20130702_135704,49134,10
20130702_135704,14583,20
20130702_135704,15579,20
20130702_135652,11397,20
20130702_135704,16510,20
20130702_135652,201,20
20130702_135652,13303,05
20130702_135652,17144,30
20130702_135652,13860,20
20130702_135704,51129,10
20130702_135652,13007,20
20130702_135652,3508,10
20130702_135704,6473,10
20130702_135652,13227,05
20130702_135652,4094,20
20130702_135704,4613,10
20130702_135652,16036,10
20130702_135652,11406,20
20130702_135652,18486,10
20130702_135652,6101,20
20130702_135704,30847,10
20130702_135704,7066,10
20130702_135652,14003,20
20130702_135652,9839,20
20130702_135704,15380,20
20130702_135652,17254,20
20130702_135652,13899,20
20130702_135704,51743,20
20130702_135652,16607,30
20130702_135704,43170,20
20130702_135704,3632,20
20130702_135704,62695,20
20130702_135652,3747,10
20130702_135704,16043,20
20130702_135652,15292,15
20130702_135652,18081,20
20130702_135704,27037,20
20130702_135652,2945,10
20130702_135652,12580,10
20130702_135704,556,10
20130702_135652,15135,30
20130702_135652,11629,20
20130702_135652,4712,20
20130702_135704,80704,20
20130702_135652,13010,20
20130702_135652,10352,10
20130702_135704,5755,20
20130702_135704,16046,20
20130702_135652,12545,10
20130702_135652,4001,20
20130702_135704,1231,20
20130702_135704,27243,20
20130702_135652,17985,10
20130702_135704,16981,20
20130702_135652,4516,20
20130702_135652,15077,30
20130702_135704,4194,20
20130702_135652,8748,20
20130702_135704,6304,10
20130702_135704,5715,20
20130702_135652,12502,10
20130702_135652,18049,10
20130702_135704,4557,20
20130702_135704,82561,20
20130702_135704,14664,20
20130702_135704,5127,20
20130702_135652,10398,10
20130702_135652,13419,05
20130702_135652,4108,20
20130702_135652,17391,10
20130702_135652,10812,20
20130702_135652,17729,10
20130702_135652,10518,10
20130702_135652,18006,10
20130702_135652,1850,20
20130702_135652,16909,10
20130702_135704,2372,10
20130702_135704,43324,20
20130702_135652,17867,10
20130702_135652,13649,10
20130702_135704,15265,20
20130702_135704,13245,20
20130702_135652,11236,20
20130702_135652,13979,20
20130702_135652,14295,20
20130702_135652,9276,20
20130702_135652,16933,10
20130702_135652,9585,20
20130702_135652,14636,10
20130702_135704,43319,20
20130702_135704,33087,20
20130702_135704,84966,20
20130702_135652,11956,20
20130702_135652,11121,10
20130702_135652,3568,10
20130702_135704,16264,20
20130702_135704,236,10
20130702_135652,11458,20
20130702_135704,15481,20
20130702_135652,16795,10
20130702_135704,59333,20
20130702_135652,16244,20
20130702_135652,12654,10
20130702_135652,13230,05
20130702_135652,17479,10
20130702_135704,5498,20
20130702_135704,44250,15
20130702_135652,7712,10
20130702_135704,24436,20
20130702_135652,8957,20
20130702_135652,4545,20
20130702_135652,896,20
20130702_135704,45355,20
20130702_135704,15182,20
20130702_135704,17364,20
20130702_135652,17650,20
20130702_135704,4740,10
20130702_135704,47734,10
20130702_135704,80963,20
20130702_135652,16638,20
20130702_135652,11373,20
20130702_135652,17757,20
20130702_135652,13038,30
20130702_135704,16240,20
20130702_135652,15737,20
20130702_135652,8276,20
20130702_135652,12901,10
20130702_135704,10207,10
20130702_135652,14307,20
20130702_135652,3974,20
20130702_135704,6877,10
20130702_135652,2316,10
20130702_135704,16824,20
20130702_135652,922,20
20130702_135652,16915,20
20130702_135704,2365,10
20130702_135652,11118,10
20130702_135652,16193,20
20130702_135652,197,25
20130702_135652,15310,15
20130702_135704,8333,20
20130702_135652,2079,10
20130702_135704,44123,15
20130702_135704,2452,10
20130702_135652,17409,20
20130702_135652,14589,10
20130702_135704,6366,10
20130702_135704,11329,20
20130702_135652,14157,10
20130702_135652,1622,20
20130702_135652,2395,10
20130702_135704,33245,20
20130702_135704,4503,20
20130702_135652,16054,20
20130702_135652,11293,10
20130702_135652,9215,20
20130702_135652,5861,20
20130702_135652,8355,30
20130702_135704,5759,20
20130702_135652,12490,10
20130702_135652,17862,10
20130702_135652,13595,20
20130702_135704,2170,20
20130702_135704,18525,20
20130702_135652,12801,20
20130702_135652,4975,20
20130702_135652,9175,20
20130702_135652,14249,20
20130702_135652,475,10
20130702_135652,4945,20
20130702_135704,8190,10
20130702_135652,5109,20
20130702_135704,5495,20
20130702_135652,15764,20
20130702_135652,8336,20
20130702_135704,8292,20
20130702_135652,8988,10
20130702_135652,17907,10
20130702_135652,3588,10
20130702_135652,14760,10
20130702_135652,17269,10
20130702_135704,5726,20
20130702_135652,14576,20
20130702_135652,1993,10
20130702_135652,14466,10
20130702_135704,56194,20
20130702_135704,35326,20
20130702_135704,4436,20
20130702_135652,10984,20
20130702_135652,7857,20
20130702_135652,1568,20
20130702_135704,4391,10
20130702_135652,16105,20
20130702_135652,11311,10
20130702_135652,7952,20
20130702_135652,16921,10
20130702_135652,12585,10
20130702_135652,5185,20
20130702_135704,6963,10
20130702_135652,17495,10
20130702_135652,16861,20
20130702_135704,2582,20
20130702_135704,30806,10
20130702_135652,13869,20
20130702_135652,1966,10
20130702_135652,15322,10
20130702_135652,15071,30
20130702_135704,16637,20
20130702_135652,17111,20
20130702_135652,3449,10
20130702_135652,2127,10
20130702_135652,10404,10
20130702_135652,9332,20
20130702_135652,397,20
20130702_135652,8378,20
20130702_135652,1428,20
20130702_135704,81260,20
20130702_135652,10891,10
20130702_135704,74188,20
20130702_135652,3038,30
20130702_135704,46833,20
20130702_135652,7073,20
20130702_135652,8365,30
20130702_135704,30217,20
20130702_135704,70263,20
20130702_135652,13180,05
20130702_135652,9427,20
20130702_135652,18018,10
20130702_135652,17810,10
20130702_135652,4682,20
20130702_135652,13936,20
20130702_135704,15377,20
20130702_135652,15508,30
20130702_135652,12398,10
20130702_135704,69365,10
20130702_135652,1278,20
20130702_135652,14990,05
20130702_135652,17828,10
20130702_135652,2713,20
20130702_135704,5286,20
20130702_135652,9568,20
20130702_135652,9271,20
20130702_135652,12426,10
20130702_135652,13661,10
20130702_135704,17146,20
20130702_135652,506,20
20130702_135652,12478,10
20130702_135652,16751,20
20130702_135704,3041,20
20130702_135652,17415,20
20130702_135652,440,20
20130702_135652,9235,20
20130702_135704,8580,20
20130702_135652,958,10
20130702_135704,25259,20
20130702_135652,952,10
20130702_135652,4571,20
20130702_135652,2821,20
20130702_135704,681,10
20130702_135704,53435,20
20130702_135652,1137,10
20130702_135652,10232,10
20130702_135652,13337,20
20130702_135652,17982,10
20130702_135704,7666,20
20130702_135652,15878,20
20130702_135652,11444,20
20130702_135652,16053,10
20130702_135652,9794,20
20130702_135652,176,10
20130702_135704,11180,20
20130702_135704,8979,20
20130702_135704,87,05
20130702_135652,17034,20
20130702_135652,909,10
20130702_135704,26878,20
20130702_135652,17633,10
20130702_135652,14405,20
20130702_135704,16315,20
20130702_135652,7123,20
20130702_135652,9876,20
20130702_135652,4008,20
20130702_135704,29889,20
20130702_135652,9641,10
20130702_135652,3078,30
20130702_135704,44502,20
20130702_135704,16769,20
20130702_135652,10317,10
20130702_135652,7169,20
20130702_135652,940,10
20130702_135652,2138,10
20130702_135652,2966,30
20130702_135704,48033,05
20130702_135704,343,20
20130702_135652,3438,20
20130702_135652,15974,10
20130702_135704,78480,10
20130702_135652,10226,10
20130702_135652,17286,10
20130702_135704,8896,20
20130702_135652,12978,20
20130702_135652,17638,10
20130702_135652,13350,05
20130702_135652,1794,35
20130702_135652,16924,10
20130702_135704,1663,05
20130702_135652,17856,10
20130702_135704,23698,10
20130702_135652,13583,20
20130702_135704,12982,20
20130702_135652,18139,10
20130702_135704,17593,10
20130702_135704,508,10
20130702_135704,65990,30
20130702_135704,88001,20
20130702_135652,17524,20
20130702_135652,12984,20
20130702_135704,47058,20
20130702_135652,15770,20
20130702_135704,19988,05
20130702_135652,13703,10
20130702_135652,18219,20
20130702_135652,14480,10
20130702_135652,16807,20
20130702_135704,20597,05
20130702_135704,73166,20
20130702_135652,13685,10
20130702_135704,30816,10
20130702_135704,20080,05
20130702_135652,11853,20
20130702_135652,10413,10
20130702_135652,16142,20
20130702_135652,1735,30
20130702_135652,12499,10
20130702_135652,8045,20
20130702_135704,29423,10
20130702_135704,9297,20
20130702_135704,23533,20
20130702_135704,43188,20
20130702_135652,12736,10
20130702_135652,8575,20
20130702_135652,13567,20
20130702_135652,18364,20
20130702_135652,10138,20
20130702_135652,14675,10
20130702_135652,17607,10
20130702_135652,4112,20
20130702_135652,11454,20
20130702_135652,3868,20
20130702_135704,18529,20
20130702_135652,15108,15
20130702_135652,10141,20
20130702_135704,77579,10
20130702_135704,480,10
20130702_135652,1097,20
20130702_135652,11163,20
20130702_135704,2359,10
20130702_135652,11462,20
20130702_135704,30572,20
20130702_135652,13087,20
20130702_135704,81380,20
20130702_135652,18338,20
20130702_135704,43913,15
20130702_135704,35367,20
